Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bolin_check,mean_60,std_60,bolin_check,high_246,new_high_check,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,dump_period,구독자_요청_종목
2020-11-11,12149,16100,11900,13500,931766,8.870967741935484,12370.0,440.0,11535.4,121.60000000000036,10464.583333333334,73.38333333333321,그린플러스,186230,179635.15,141605.91259187303,True,10464.583333333334,1017.8585911519688,True,12850.0,True,2021-04-26,2020-11-11,15850.0,17700.0,15750.0,16350.0,3745278.0,7.920792079207921,17150.0,14320.0,640.0,13045.0,197.5,12758.333333333334,41.66666666666788,166,True
2021-04-23,13500,17150,13400,15150,4352099,13.059701492537313,13680.0,410.0,12847.5,150.0,12716.666666666666,21.66666666666606,그린플러스,186230,131275.55,112614.27673820376,True,12716.666666666666,587.6314614307161,True,16100.0,True,2021-04-29,2021-04-23,16550.0,18200.0,16300.0,17300.0,2044861.0,2.366863905325444,17700.0,16520.0,780.0,13735.0,255.0,12958.333333333334,74.16666666666788,6,True
2021-04-26,15850,17700,15750,16350,3745278,7.920792079207921,14320.0,640.0,13045.0,197.5,12758.333333333334,41.66666666666788,그린플러스,186230,198162.06666666668,556198.4699309724,True,12758.333333333334,738.5950168190809,True,17150.0,True,2021-05-06,2021-04-26,17100.0,18700.0,16750.0,18000.0,1635295.0,4.956268221574344,18200.0,17020.0,220.0,14667.5,290.0,13231.666666666666,85.0,10,True
2021-08-02,18700,22400,18700,19850,9624484,9.366391184573002,18550.0,330.0,17525.0,140.0,17146.666666666668,34.16666666666788,그린플러스,186230,295410.31666666665,282171.40664091177,True,17146.666666666668,888.8130852799493,True,20250.0,True,No pumping date,2021-08-02,,,,,,,,,,,,,,No pumping date,True
2022-04-06,15700,17500,15350,15750,859474,0.3184713375796179,15610.0,160.0,15107.5,75.0,14839.166666666666,-4.166666666667879,그린플러스,186230,75765.38333333333,60233.705924444665,True,14839.166666666666,623.7592203501397,True,22400.0,False,2022-04-19,2022-04-06,16850.0,18050.0,16750.0,17500.0,1108498.0,6.0606060606060606,22400.0,16670.0,290.0,15972.5,87.5,15003.333333333334,40.0,13,True
2022-04-08,16050,16950,15900,16700,870329,6.7092651757188495,15900.0,230.0,15300.0,120.0,14850.0,12.5,그린플러스,186230,91680.71666666666,119209.09912746726,True,14850.0,651.0096461052599,True,22400.0,False,2022-04-19,2022-04-08,16850.0,18050.0,16750.0,17500.0,1108498.0,6.0606060606060606,22400.0,16670.0,290.0,15972.5,87.5,15003.333333333334,40.0,11,True
2022-04-19,16850,18050,16750,17500,1108498,6.0606060606060606,16670.0,290.0,15972.5,87.5,15003.333333333334,40.0,그린플러스,186230,122861.58333333331,161435.3371642388,True,15003.333333333334,872.0648915885184,True,22400.0,False,No pumping date,2022-04-19,,,,,,,,,,,,,,No pumping date,True
2022-04-26,18000,18350,17100,17150,819976,-2.556818181818182,17070.0,-70.0,16342.5,85.0,15204.166666666666,51.66666666666606,그린플러스,186230,161328.73333333334,213490.26770854503,True,15204.166666666666,1034.1332105561542,True,22400.0,False,No pumping date,2022-04-26,,,,,,,,,,,,,,No pumping date,True
2022-09-14,11950,15300,11950,13300,1346595,6.827309236947792,12510.0,120.0,12817.5,-2.5,12686.666666666666,-23.33333333333394,그린플러스,186230,49318.18333333333,40280.50902951988,True,12686.666666666666,703.433869699034,True,18700.0,False,No pumping date,2022-09-14,,,,,,,,,,,,,,No pumping date,True
2023-02-01,11010,13310,11010,11760,4858329,6.811989100817439,11132.0,184.0,10827.5,88.0,11108.333333333334,6.0,그린플러스,186230,61519.55,80829.80527562412,True,11108.333333333334,454.19389075127873,True,18350.0,False,2024-05-30,2023-02-01,12750.0,13500.0,12590.0,13320.0,375233.0,4.470588235294118,13630.0,12802.0,164.0,12081.0,140.5,10925.833333333334,85.33333333333394,484,True
2023-06-08,11040,11550,10370,11150,254642,0.5410279531109108,10642.0,216.0,10299.0,48.0,10428.5,-0.5,그린플러스,186230,48567.95,31195.64346508057,True,10428.5,283.2608248868548,True,15500.0,False,2023-06-14,2023-06-08,10810.0,11890.0,10730.0,11560.0,957472.0,7.534883720930233,15300.0,11118.0,94.0,10486.5,73.5,10454.0,17.33333333333394,6,True
2023-06-09,10860,11490,10620,11200,257852,0.4484304932735426,10862.0,220.0,10351.5,52.5,10429.5,1.0,그린플러스,186230,51666.23333333333,40942.365704774944,True,10429.5,285.9087504076242,True,15450.0,False,2023-06-14,2023-06-09,10810.0,11890.0,10730.0,11560.0,957472.0,7.534883720930233,15300.0,11118.0,94.0,10486.5,73.5,10454.0,17.33333333333394,5,True
2023-06-14,10810,11890,10730,11560,957472,7.534883720930233,11118.0,94.0,10486.5,73.5,10454.0,17.33333333333394,그린플러스,186230,55404.86666666667,48861.93511381066,True,10454.0,327.6273203157441,True,15300.0,False,2024-05-13,2023-06-14,12000.0,12540.0,11580.0,12160.0,257966.0,2.443133951137321,12370.0,11354.0,290.0,11163.5,74.0,10098.666666666666,63.16666666666606,334,True
2023-07-18,10320,12370,10320,10650,7980627,2.898550724637681,10328.0,76.0,10649.5,-17.0,10515.5,-2.1666666666660603,그린플러스,186230,86983.01666666666,127714.68048507998,True,10515.5,414.7509973837696,True,15300.0,False,2024-05-14,2023-07-18,12170.0,12650.0,11970.0,12430.0,213114.0,2.2203947368421053,12540.0,11672.0,318.0,11236.0,72.5,10165.333333333334,66.66666666666788,301,True
2024-02-22,10010,11490,9100,9100,6174166,-1.090000033378601,8774.0,134.0,8365.0,53.0,8075.666666666667,31.33333333333394,그린플러스,186230,79574.48333333334,160801.3835628007,True,8075.666666666667,557.2248630697428,True,12370.0,False,2024-04-18,2024-02-22,11500.0,11770.0,11500.0,11630.0,131680.0,2.196836555360281,12370.0,11278.0,190.0,10762.5,102.0,9360.833333333334,58.33333333333394,56,True
2020-12-09,1085,1410,1075,1410,44803457,29.95391705069124,1157.0,66.0,1106.0,15.0,1100.0833333333333,4.8333333333332575,대명소노시즌,007720,350607.45,250986.09930973905,True,1100.0833333333333,48.83812475285875,True,1845.0,False,2021-02-18,2020-12-09,1360.0,1460.0,1325.0,1410.0,9004713.0,4.83271375464684,1530.0,1318.0,33.0,1282.5,6.75,1225.5,5.416666666666743,71,True
2020-12-10,1370,1385,1265,1330,24414956,-5.673758865248227,1203.0,46.0,1117.25,11.25,1103.25,3.1666666666667425,대명소노시즌,007720,1092516.2666666666,5744183.43170337,True,1103.25,56.9554167004568,True,1845.0,False,2021-02-18,2020-12-10,1360.0,1460.0,1325.0,1410.0,9004713.0,4.83271375464684,1530.0,1318.0,33.0,1282.5,6.75,1225.5,5.416666666666743,70,True
2021-02-17,1300,1530,1300,1345,26770571,3.4615384615384617,1285.0,16.0,1275.75,4.0,1220.0833333333333,4.25,대명소노시즌,007720,2973869.783333333,6707804.333061478,True,1220.0833333333333,85.07968182758879,True,1425.0,True,2021-03-17,2021-02-17,1485.0,1590.0,1460.0,1530.0,13835846.0,2.0,1530.0,1452.0,28.0,1407.75,11.5,1304.0833333333333,4.75,28,True
2021-05-26,1440,1615,1415,1550,23533027,9.15492957746479,1453.0,20.0,1431.25,7.0,1430.75,2.9166666666667425,대명소노시즌,007720,1367560.45,1997303.1270443955,True,1430.75,43.80063655596059,True,1590.0,True,2021-05-31,2021-05-26,1545.0,1635.0,1525.0,1615.0,6488244.0,3.525641025641025,1615.0,1546.0,45.0,1460.25,11.5,1441.1666666666667,3.833333333333485,5,True
2021-06-03,1640,1820,1630,1695,32428546,5.279503105590062,1620.0,22.0,1498.25,15.75,1454.0833333333333,5.0,대명소노시즌,007720,1989900.6666666667,3609794.562681015,True,1454.0833333333333,68.38631334633156,True,1645.0,True,No pumping date,2021-06-03,,,,,,,,,,,,,,No pumping date,True
2022-12-07,745,897,742,792,6999936,5.319148936170213,780.0,7.2000000000000455,748.25,4.0499999999999545,735.2333333333333,-0.3833333333333257,대명소노시즌,007720,257963.76666666663,740226.577537481,True,735.2333333333333,40.458962957710106,True,1360.0,False,2024-10-10,2022-12-07,888.0,958.0,811.0,958.0,50691765.0,29.986431478968797,849.0,756.2,49.80000000000007,711.5,15.950000000000044,632.3833333333333,6.43333333333328,673,True
2022-12-08,771,932,771,861,18174375,8.712121212121213,794.2,14.200000000000044,756.05,7.799999999999954,735.8,0.566666666666606,대명소노시즌,007720,373619.56666666665,1141964.1445351522,True,735.8,41.97569918454528,True,1360.0,False,2024-10-10,2022-12-08,888.0,958.0,811.0,958.0,50691765.0,29.986431478968797,849.0,756.2,49.80000000000007,711.5,15.950000000000044,632.3833333333333,6.43333333333328,672,True
2023-06-22,686,895,681,749,5952617,8.708272859216255,701.4,12.199999999999932,700.15,2.1000000000000227,700.4166666666666,1.033333333333303,대명소노시즌,007720,121563.68333333332,62273.01435279552,True,700.4166666666666,10.772362104403378,True,932.0,False,2024-10-10,2023-06-22,888.0,958.0,811.0,958.0,50691765.0,29.986431478968797,849.0,756.2,49.80000000000007,711.5,15.950000000000044,632.3833333333333,6.43333333333328,476,True
