Date,Open,High,Low,Close,Volume,Change
2017-12-11,52000,52040,51500,51780,162517,-0.00423076923076926
2017-12-12,51820,52100,51660,52100,175301,0.006179992275009649
2017-12-13,52100,52100,51100,51320,226674,-0.01497120921305184
2017-12-14,51320,52280,51060,51060,406208,-0.005066250974279041
2017-12-15,51240,51480,50520,50620,298571,-0.008617312965139012
2017-12-18,50620,51240,50620,51200,147005,0.011457921770051449
2017-12-19,51540,52080,51520,51560,239572,0.007031250000000044
2017-12-20,51500,51760,50820,50880,201611,-0.013188518231186941
2017-12-21,51000,51060,49100,49140,312486,-0.034198113207547176
2017-12-22,49400,49960,49240,49700,223993,0.01139601139601143
2017-12-26,49760,50100,48200,48200,320797,-0.030181086519114664
2017-12-27,48960,49560,48460,49360,214872,0.02406639004149369
2017-12-28,49560,50960,49500,50960,179709,0.03241491085899506
2018-01-02,51380,51400,50780,51020,169485,0.0011773940345369827
2018-01-03,52540,52560,51420,51620,200270,0.011760094080752737
2018-01-04,52120,52180,50640,51080,233909,-0.010461061604029487
2018-01-05,51300,52120,51200,52120,189623,0.02036021926389986
2018-01-08,52400,52520,51500,52020,167673,-0.0019186492709132308
2018-01-09,51460,51720,49980,50400,360272,-0.03114186851211076
2018-01-10,50500,50520,48640,48840,371336,-0.030952380952380953
2018-01-11,48200,49260,48020,48240,502476,-0.012285012285012331
2018-01-12,48240,48480,46760,48200,545409,-0.0008291873963516272
2018-01-15,48800,48980,47920,48540,201920,0.007053941908713668
2018-01-16,48760,50140,48620,50000,407793,0.030078285949732164
2018-01-17,50020,50020,49060,49620,221061,-0.007600000000000051
2018-01-18,50020,50640,49820,49900,296977,0.005642885933091479
2018-01-19,50380,50380,49040,49320,184399,-0.011623246492985961
2018-01-22,48640,48680,47960,48240,250418,-0.021897810218978075
2018-01-23,48660,49160,48300,49160,270654,0.019071310116086204
2018-01-24,48860,49700,48560,49340,191010,0.003661513425549323
2018-01-25,49220,50360,49160,50260,223207,0.01864612890149986
2018-01-26,50500,50780,49840,50780,207002,0.010346199761241515
2018-01-29,51200,51480,50900,51220,236776,0.008664828672705793
2018-01-30,50440,50640,49780,49800,245691,-0.027723545490042967
2018-01-31,50020,54140,49600,49900,1293626,0.002008032128514081
2018-02-01,50620,50960,49720,49820,552189,-0.0016032064128256307
2018-02-02,49380,49400,47700,47700,585207,-0.04255319148936165
2018-02-05,46500,48320,46000,47920,567158,0.004612159329140386
2018-02-06,46600,47920,46580,47420,388129,-0.01043405676126874
2018-02-07,48240,48260,45800,45800,468961,-0.03416280050611553
2018-02-08,46120,46620,45980,46000,465021,0.004366812227074135
2018-02-09,44440,45180,44420,44700,349300,-0.02826086956521734
2018-02-12,45100,46320,45040,45720,315099,0.02281879194630876
2018-02-13,46200,48060,46200,47540,378465,0.039807524059492616
2018-02-14,48080,49100,47940,49000,378118,0.03071098022717722
2018-02-19,49800,49800,47860,48380,307069,-0.012653061224489837
2018-02-20,48040,48160,47220,47400,202452,-0.02025630425795788
2018-02-21,47280,47580,46840,47280,257604,-0.0025316455696202667
2018-02-22,47260,47260,46760,46760,177399,-0.010998307952622688
2018-02-23,46760,47800,46760,47220,248466,0.009837467921300247
2018-02-26,47280,47560,47080,47380,191213,0.0033883947479882437
2018-02-27,48360,48380,47380,47380,196611,0.0
2018-02-28,47380,48100,47000,47060,303247,-0.006753904601097482
2018-03-02,46580,46800,46000,46020,265310,-0.02209944751381221
2018-03-05,45820,46160,45080,45200,282019,-0.01781833985223813
2018-03-06,45920,47100,45820,47020,308467,0.04026548672566377
2018-03-07,48200,48900,47220,48620,428541,0.034028073160357275
2018-03-08,49200,49480,48080,49200,389273,0.01192924722336497
2018-03-09,49440,50540,49240,49740,286088,0.01097560975609757
2018-03-12,50560,50780,49580,49740,173779,0.0
2018-03-13,50760,51660,50360,51660,401974,0.0386007237635706
2018-03-14,51020,52000,51000,51760,254265,0.0019357336430507743
2018-03-15,52000,52020,51020,51540,177649,-0.004250386398763517
2018-03-16,51220,51420,50240,51140,243698,-0.007760962359332546
2018-03-19,50620,51340,50440,50740,164377,-0.007821666014861117
2018-03-20,50700,51200,50100,51200,163865,0.009065825778478587
2018-03-21,51780,51780,51060,51060,178104,-0.0027343749999999556
2018-03-22,51060,51780,51040,51780,169082,0.014101057579318343
2018-03-23,50340,50720,49600,49720,297099,-0.0397837002703747
2018-03-26,49420,50280,49040,50280,201155,0.011263073209975882
2018-03-27,50320,50460,49080,49980,237480,-0.005966587112171795
2018-03-28,49100,49100,48340,48700,303189,-0.025610244097639012
2018-03-29,48700,49560,48320,49040,201340,0.006981519507186951
2018-03-30,49080,49900,49080,49220,155542,0.0036704730831973453
2018-04-02,49000,49220,48500,48540,142313,-0.013815522145469328
2018-04-03,47880,48140,47280,48120,255365,-0.008652657601977753
2018-04-04,48160,48260,46920,46920,247684,-0.02493765586034913
2018-04-05,47400,49380,47340,48740,264912,0.038789428815004356
2018-04-06,48000,48580,47400,48400,250654,-0.006975789905621643
2018-04-09,48260,49440,48200,49200,199008,0.016528925619834656
2018-04-10,48540,49220,48040,48880,219687,-0.006504065040650375
2018-04-11,49900,49900,48600,48860,201022,-0.00040916530278234386
2018-04-12,49440,49440,48880,49000,249325,0.002865329512893977
2018-04-13,49600,50180,49400,49800,205566,0.01632653061224487
2018-04-16,50320,50600,49860,50340,157549,0.010843373493975905
2018-04-17,50240,50540,49820,49980,155440,-0.007151370679380209
2018-04-18,51000,51360,50580,51360,269252,0.027611044417767072
2018-04-19,52000,52980,51540,52780,343811,0.027647975077881526
2018-04-20,51800,52260,51420,51620,235220,-0.02197802197802201
2018-04-23,51000,52080,51000,51900,232380,0.005424254165052211
2018-04-24,51840,51860,50080,50460,315406,-0.02774566473988438
2018-04-25,49220,50500,49220,50400,332292,-0.0011890606420927874
2018-04-26,50420,52160,50400,52140,360931,0.03452380952380962
2018-04-27,53380,53639,52440,53000,606216,0.016494054468737973
2018-04-30,0,0,0,53000,0,0.0
2018-05-02,0,0,0,53000,0,0.0
2018-05-03,0,0,0,53000,0,0.0
2018-05-04,53000,53900,51800,51900,39565391,-0.02075471698113207
2018-05-08,52600,53200,51900,52600,23104720,0.01348747591522148
2018-05-09,52600,52800,50900,50900,16128305,-0.03231939163498099
2018-05-10,51700,51700,50600,51600,13905263,0.013752455795677854
2018-05-11,52000,52200,51200,51300,10314997,-0.005813953488372103
2018-05-14,51000,51100,49900,50100,14909272,-0.023391812865497075
2018-05-15,50200,50400,49100,49200,18709146,-0.017964071856287456
2018-05-16,49200,50200,49150,49850,15918683,0.013211382113821113
2018-05-17,50300,50500,49400,49400,10365440,-0.009027081243731194
2018-05-18,49900,49900,49350,49500,6706570,0.002024291497975783
2018-05-21,49650,50200,49100,50000,9020998,0.010101010101010166
2018-05-23,50600,52000,50400,51800,17095490,0.03600000000000003
2018-05-24,52000,52000,51100,51400,8289275,-0.007722007722007707
2018-05-25,51000,52800,50800,52700,15207266,0.02529182879377423
2018-05-28,52500,53000,52000,52300,9787820,-0.007590132827324458
2018-05-29,52200,52500,51300,51300,8480437,-0.019120458891013437
2018-05-30,51300,51500,49100,49500,20498098,-0.03508771929824561
2018-05-31,50400,50800,49850,50700,63491109,0.024242424242424176
2018-06-01,50500,51700,49950,51300,13038499,0.01183431952662728
2018-06-04,50800,51200,50700,51100,9767171,-0.003898635477582846
2018-06-05,51100,51400,50400,51300,9144100,0.00391389432485334
2018-06-07,51800,51800,50500,50600,13590016,-0.013645224171540016
2018-06-08,50200,50400,49600,49650,16951706,-0.018774703557312256
2018-06-11,49750,50300,49350,49900,10571312,0.0050352467270895485
2018-06-12,49700,49800,49250,49400,12110569,-0.01002004008016033
2018-06-14,49000,49000,48200,48200,20971729,-0.02429149797570851
2018-06-15,48500,48700,47650,47650,17080892,-0.011410788381742698
2018-06-18,47600,47650,46200,46600,16661870,-0.022035676810073457
2018-06-19,47200,47350,46500,47000,15217971,0.008583690987124415
2018-06-20,47450,47600,46850,47000,12959316,0.0
2018-06-21,47900,47900,47050,47050,10015541,0.0010638297872340718
2018-06-22,47000,47250,46200,47250,10298006,0.004250797024442088
2018-06-25,47050,47050,46150,46650,10587711,-0.012698412698412653
2018-06-26,45900,47300,45900,47000,11223166,0.007502679528403
2018-06-27,47450,48500,47000,47950,15274752,0.0202127659574467
2018-06-28,46850,47150,46600,46800,12784800,-0.023983315954118845
2018-06-29,46250,47150,46200,46650,14099635,-0.0032051282051281937
2018-07-02,46500,47150,45500,45550,13112253,-0.02357984994640938
2018-07-03,45750,46450,45750,46150,10959655,0.01317233809001106
2018-07-04,46700,47050,46050,46250,8776763,0.0021668472372697867
2018-07-05,46100,46550,45600,45950,7039773,-0.006486486486486531
2018-07-06,45500,45850,44650,44900,17843706,-0.02285092491838958
2018-07-09,45500,46100,45200,45600,11602464,0.015590200445434244
2018-07-10,46200,46550,46100,46300,10528665,0.015350877192982448
2018-07-11,46400,46450,45400,46000,11224077,-0.006479481641468721
2018-07-12,45900,46250,45450,45500,11828104,-0.010869565217391353
2018-07-13,45800,46500,45750,46500,11543389,0.0219780219780219
2018-07-16,46800,46800,46000,46050,7678719,-0.009677419354838679
2018-07-17,46150,46200,45600,45850,8892953,-0.004343105320304019
2018-07-18,46700,47200,46450,46550,10952645,0.01526717557251911
2018-07-19,47050,47200,46600,46900,9880128,0.007518796992481258
2018-07-20,47000,47600,46700,47450,10474547,0.011727078891258014
2018-07-23,47100,47200,46150,46500,10823782,-0.02002107481559534
2018-07-24,46350,46600,45950,46150,8261363,-0.007526881720430145
2018-07-25,46250,46550,45900,46150,7222471,0.0
2018-07-26,46100,47000,46000,46900,7374946,0.01625135427952329
2018-07-27,46450,47000,46450,46900,4762460,0.0
2018-07-30,46550,46800,46350,46500,5723035,-0.008528784648187626
2018-07-31,46200,46450,46000,46250,8033607,-0.005376344086021501
2018-08-01,46050,46850,46050,46550,7484499,0.00648648648648642
2018-08-02,46550,46800,45500,45550,8560924,-0.02148227712137485
2018-08-03,45850,45900,45450,45750,8274944,0.004390779363337094
2018-08-06,46150,46150,45750,45800,6771979,0.0010928961748633004
2018-08-07,46300,46750,45900,46700,9058174,0.01965065502183405
2018-08-08,47000,47000,46550,46800,6429338,0.0021413276231263545
2018-08-09,47000,47050,46450,46900,12010886,0.002136752136752129
2018-08-10,46150,46400,44850,45400,16670643,-0.031982942430703654
2018-08-13,44950,45100,44650,45050,9803831,-0.00770925110132159
2018-08-14,44850,45400,44850,45150,6409259,0.002219755826859071
2018-08-16,43800,44650,43700,44250,10088229,-0.019933554817275767
2018-08-17,44050,44400,44050,44100,6808747,-0.003389830508474523
2018-08-20,43500,44200,43500,43850,7289124,-0.005668934240362855
2018-08-21,43700,44900,43700,44800,9520270,0.02166476624857472
2018-08-22,45150,46200,44900,46100,11641656,0.029017857142857206
2018-08-23,46150,46200,45700,46200,6730918,0.002169197396963085
2018-08-24,45900,46400,45550,46150,6582535,-0.0010822510822511289
2018-08-27,46100,46550,46000,46300,5263782,0.003250270855904569
2018-08-28,46800,46950,46300,46550,7365976,0.005399568034557323
2018-08-29,46750,46800,46400,46800,5572374,0.005370569280343629
2018-08-30,46950,47950,46700,47650,12193231,0.018162393162393098
2018-08-31,47100,48450,47000,48450,13577454,0.016789087093389332
2018-09-03,48200,48300,47300,47450,8595084,-0.02063983488132093
2018-09-04,47550,47800,47200,47650,6791255,0.004214963119072657
2018-09-05,47300,47450,46400,46600,9139998,-0.022035676810073457
2018-09-06,46200,46400,45800,46100,9040553,-0.010729613733905574
2018-09-07,44500,45200,44400,44900,18285508,-0.026030368763557465
2018-09-10,45450,45550,45000,45500,9979838,0.013363028953229383
2018-09-11,45550,45900,45050,45050,9865790,-0.009890109890109855
2018-09-12,44900,45100,44500,44550,12995269,-0.011098779134295245
2018-09-13,44550,44750,44000,44050,18277942,-0.011223344556677839
2018-09-14,45000,45850,44900,45850,12446344,0.04086265607264483
2018-09-17,45550,45800,44900,45150,8123384,-0.01526717557251911
2018-09-18,44950,45900,44700,45500,9987090,0.007751937984496138
2018-09-19,46000,46200,45700,46150,9367454,0.014285714285714235
2018-09-20,46850,47600,46400,47250,13536966,0.02383531960996743
2018-09-21,46550,47550,46550,47400,14476906,0.0031746031746031633
2018-09-27,46950,47500,46450,47500,15804586,0.0021097046413502962
2018-09-28,47250,47250,46300,46450,11270515,-0.02210526315789474
2018-10-01,46450,46800,45800,46350,6354983,-0.0021528525296017342
2018-10-02,46450,46700,45700,45700,6607188,-0.014023732470334394
2018-10-04,45150,45600,44700,44700,11865327,-0.021881838074398252
2018-10-05,44800,45500,44550,44700,10544165,0.0
2018-10-08,44200,45200,44200,44950,6759464,0.005592841163311046
2018-10-10,45250,45500,44500,45300,10341349,0.007786429365962189
2018-10-11,44000,44650,43100,43100,19324537,-0.04856512141280356
2018-10-12,43200,44650,43200,44000,12640906,0.02088167053364276
2018-10-15,44050,44050,43350,43800,7434522,-0.004545454545454519
2018-10-16,43700,44150,43350,43600,6825677,-0.004566210045662156
2018-10-17,44150,44500,44000,44150,8306193,0.012614678899082632
2018-10-18,43950,44450,43700,44050,8347725,-0.0022650056625141968
2018-10-19,43900,44150,43450,43900,7842520,-0.0034052213393870323
2018-10-22,43450,43950,43200,43550,8357648,-0.007972665148063829
2018-10-23,43300,43450,42550,43050,9531231,-0.01148105625717566
2018-10-24,43050,43100,42250,42550,13522825,-0.011614401858304313
2018-10-25,40600,41550,40550,41000,19338170,-0.03642773207990602
2018-10-26,41100,41300,40400,41000,14413864,0.0
2018-10-29,40850,41950,40550,41400,14460521,0.009756097560975618
2018-10-30,41400,43000,41000,42350,14205190,0.022946859903381744
2018-10-31,42900,43350,41700,42400,17621480,0.0011806375442739991
2018-11-01,42450,42950,42150,42150,13423132,-0.005896226415094352
2018-11-02,43050,44250,42800,44150,16517112,0.04744958481613293
2018-11-05,43750,43800,42900,43800,9426777,-0.007927519818799578
2018-11-06,43750,43800,42950,43750,7713625,-0.0011415525114155667
2018-11-07,43600,44500,43400,44000,11553998,0.005714285714285783
2018-11-08,44900,45050,44050,44050,12617397,0.001136363636363713
2018-11-09,44450,44850,43900,44300,7318500,0.00567536889897835
2018-11-12,43850,45250,43700,45200,8552566,0.020316027088036037
2018-11-13,43900,44500,43400,44500,9311126,-0.015486725663716783
2018-11-14,44500,44500,43800,44100,6783344,-0.008988764044943864
2018-11-15,44050,44350,43500,44250,5864067,0.00340136054421758
2018-11-16,44600,44750,43700,44000,7777124,-0.005649717514124242
2018-11-19,44050,44250,43450,43650,7538720,-0.007954545454545436
2018-11-20,42450,43000,42100,42800,9420664,-0.019473081328751474
2018-11-21,41800,42300,41800,42100,10769589,-0.016355140186915862
2018-11-22,42000,42650,42000,42450,5970796,0.008313539192398967
2018-11-23,42450,42600,41900,42400,5192638,-0.0011778563015312216
2018-11-26,42150,42800,42100,42600,6613009,0.004716981132075526
2018-11-27,42900,43100,42500,43050,8367091,0.010563380281690238
2018-11-28,42800,43200,42750,43150,6943099,0.0023228803716608404
2018-11-29,43850,43850,42900,43150,8473511,0.0
2018-11-30,43450,44000,41750,41850,19775519,-0.030127462340672095
2018-12-03,42750,43400,42400,43250,12110702,0.03345280764635605
2018-12-04,42650,42900,41900,42150,14347746,-0.02543352601156068
2018-12-05,40900,41750,40850,41450,12631983,-0.016607354685646447
2018-12-06,40600,41100,40450,40500,14251826,-0.022919179734619988
2018-12-07,40900,41400,40850,40950,11433083,0.011111111111111072
2018-12-10,40450,40650,40000,40200,14892263,-0.01831501831501836
2018-12-11,40600,40700,40200,40250,10638766,0.0012437810945273853
2018-12-12,40250,40700,40150,40450,12024279,0.00496894409937898
2018-12-13,40650,40750,40000,40000,26254646,-0.011124845488257096
2018-12-14,40200,40200,38700,38950,19671783,-0.026249999999999996
2018-12-17,38650,39600,38650,39150,11532968,0.005134788189987249
2018-12-18,38300,39200,38300,38900,11042101,-0.0063856960408684715
2018-12-19,38900,39350,38850,39100,9942037,0.005141388174807249
2018-12-20,38600,39100,38500,38650,11937617,-0.011508951406649648
2018-12-21,38200,38650,38100,38650,14947080,0.0
2018-12-24,38500,39050,38300,38800,9729530,0.0038809831824062613
2018-12-26,38400,38750,38300,38350,12707675,-0.011597938144329856
2018-12-27,38700,38800,38100,38250,10510643,-0.0026075619295958807
2018-12-28,38250,38900,38200,38700,9900267,0.0117647058823529
2019-01-02,39400,39400,38550,38750,7847664,0.0012919896640826156
2019-01-03,38300,38550,37450,37600,12471493,-0.029677419354838697
2019-01-04,37450,37600,36850,37450,14108958,-0.003989361702127714
2019-01-07,38000,38900,37800,38750,12748997,0.03471295060080104
2019-01-08,38000,39200,37950,38100,12756554,-0.01677419354838705
2019-01-09,38650,39600,38300,39600,17452708,0.03937007874015741
2019-01-10,40000,40150,39600,39800,14731699,0.005050505050504972
2019-01-11,40350,40550,39950,40500,11661063,0.017587939698492372
2019-01-14,40450,40700,39850,40050,11984996,-0.011111111111111072
2019-01-15,40050,41100,39850,41100,11492756,0.02621722846441954
2019-01-16,41150,41450,40700,41450,8491595,0.008515815085158085
2019-01-17,41700,42100,41450,41950,11736903,0.012062726176115701
2019-01-18,42000,42400,41950,42300,11029256,0.008343265792610355
2019-01-21,42700,42750,41900,42750,11355701,0.010638297872340496
2019-01-22,42750,42850,41850,42150,9964356,-0.01403508771929829
2019-01-23,41350,42250,41350,42000,11071079,-0.003558718861209953
2019-01-24,43050,43100,42350,43050,14747623,0.02499999999999991
2019-01-25,44300,44750,43750,44750,22789395,0.03948896631823451
2019-01-28,45000,45500,44600,45050,17998914,0.006703910614525244
2019-01-29,45050,45500,44350,45500,16215017,0.009988901220865598
2019-01-30,44800,46400,44800,46400,17505980,0.01978021978021971
2019-01-31,46650,47050,46150,46150,21621145,-0.0053879310344827624
2019-02-01,46650,46950,46250,46350,13832454,0.004333694474539573
2019-02-07,46800,47100,46200,46200,15872001,-0.003236245954692518
2019-02-08,45700,45700,44650,44800,12689196,-0.030303030303030276
2019-02-11,44500,45000,44250,45000,11125044,0.0044642857142858094
2019-02-12,44650,46250,44650,46050,13184367,0.023333333333333428
2019-02-13,46400,46700,46000,46200,11299738,0.0032573289902280145
2019-02-14,46600,47500,46150,47500,17259341,0.02813852813852824
2019-02-15,46750,46850,45650,46050,10554643,-0.030526315789473735
2019-02-18,46500,46850,45850,46200,8183728,0.0032573289902280145
2019-02-19,45850,46150,45450,45950,6741395,-0.005411255411255422
2019-02-20,46750,47100,46500,46900,11506720,0.020674646354733373
2019-02-21,46500,47200,46200,46950,8694009,0.0010660980810235365
2019-02-22,46500,47150,46450,47150,6895772,0.004259850905218299
2019-02-25,47400,47550,47050,47350,7484716,0.0042417815482502785
2019-02-26,47350,47450,46500,46750,7985547,-0.012671594508975703
2019-02-27,47000,47250,46750,46750,8045211,0.0
2019-02-28,46400,46500,45100,45100,23569321,-0.03529411764705881
2019-03-04,46000,46100,44800,44850,12926539,-0.005543237250554278
2019-03-05,44600,45100,44150,44250,10612405,-0.013377926421404673
2019-03-06,44000,44300,43700,44000,10202544,-0.005649717514124242
2019-03-07,43400,44950,43400,44450,11049749,0.010227272727272751
2019-03-08,44450,44800,43800,43800,7729069,-0.01462317210348707
2019-03-11,44400,44450,43650,43650,10717408,-0.003424657534246589
2019-03-12,44300,44950,44150,44650,11431977,0.02290950744558984
2019-03-13,44250,44450,43700,43850,8108343,-0.017917133258678608
2019-03-14,43700,44300,43550,43850,18039161,0.0
2019-03-15,43800,44250,43700,44200,16814163,0.007981755986316896
2019-03-18,43950,44150,43450,43700,8188876,-0.011312217194570096
2019-03-19,43750,43900,43550,43900,7609563,0.004576659038901587
2019-03-20,43800,44200,43100,44050,9846242,0.003416856492027387
2019-03-21,44600,46250,44050,45850,21138016,0.04086265607264483
2019-03-22,46850,47000,46250,46550,12535911,0.01526717557251911
2019-03-25,45300,45650,44800,45500,8699728,-0.022556390977443663
2019-03-26,45500,45700,44900,45250,9729811,-0.005494505494505475
2019-03-27,44750,45600,44250,45350,9568081,0.0022099447513812542
2019-03-28,44950,45200,44300,44850,6821306,-0.011025358324145529
2019-03-29,44500,44900,44200,44650,11491713,-0.004459308807134854
2019-04-01,45200,45450,44850,45050,7362129,0.008958566629339249
2019-04-02,45550,46100,45350,45750,9480688,0.015538290788013276
2019-04-03,46750,46750,45800,46600,12436570,0.01857923497267766
2019-04-04,46150,47100,46150,46950,12650168,0.007510729613734002
2019-04-05,46950,47550,46600,46850,8546339,-0.0021299254526091493
2019-04-08,47250,47250,46150,46650,8507909,-0.004268943436499417
2019-04-09,46700,46950,46200,46650,6878761,0.0
2019-04-10,46400,46700,46050,46700,11883995,0.001071811361200492
2019-04-11,46700,46800,46150,46250,13697399,-0.009635974304068484
2019-04-12,46050,46900,46000,46850,7668936,0.012972972972973063
2019-04-15,47150,47500,47000,47050,8733019,0.004268943436499528
2019-04-16,47400,47400,46800,47250,7730881,0.004250797024442088
2019-04-17,47300,47600,47000,47050,5513658,-0.004232804232804255
2019-04-18,47200,47250,45500,45600,12808747,-0.03081827842720508
2019-04-19,45750,46000,45250,45300,8479710,-0.006578947368421018
2019-04-22,45400,45900,45100,45350,6006957,0.001103752759381793
2019-04-23,45050,45500,45000,45200,6920566,-0.003307607497243681
2019-04-24,45400,45650,44150,44750,13299267,-0.009955752212389424
2019-04-25,44250,45000,44100,44650,10868965,-0.0022346368715083775
2019-04-26,44200,45000,43800,44850,9739982,0.004479283314669624
2019-04-29,45150,46150,45100,46150,8777517,0.02898550724637672
2019-04-30,46000,46300,45350,45850,11121273,-0.00650054171180936
2019-05-02,45500,46150,45400,45900,8625126,0.0010905125408942062
2019-05-03,45900,46050,45300,45300,6562916,-0.013071895424836555
2019-05-07,45250,45300,44400,44850,12014907,-0.009933774834437137
2019-05-08,44300,44850,44200,44250,10398754,-0.013377926421404673
2019-05-09,43900,44250,42450,42450,23029718,-0.04067796610169494
2019-05-10,42600,43450,42450,42900,14579512,0.010600706713780994
2019-05-13,42500,43200,42350,42650,7635079,-0.005827505827505797
2019-05-14,41300,43100,41300,42650,11563730,0.0
2019-05-15,42700,43050,42550,42550,7670185,-0.0023446658851113966
2019-05-16,42350,42400,41350,41550,13687828,-0.023501762632197387
2019-05-17,41950,42050,40850,41200,13357951,-0.008423586040914532
2019-05-20,41650,42100,41550,42000,15752397,0.01941747572815533
2019-05-21,42600,43950,42350,43150,18812133,0.027380952380952284
2019-05-22,43700,43800,42400,43500,11033339,0.008111239860950192
2019-05-23,43900,44000,43250,43850,12259006,0.008045977011494232
2019-05-24,43800,43800,42400,42700,13966305,-0.026225769669327215
2019-05-27,42500,43000,42350,42650,8066669,-0.0011709601873536313
2019-05-28,42550,42950,42150,42550,24506881,-0.0023446658851113966
2019-05-29,41850,42100,41300,41800,14930618,-0.01762632197414804
2019-05-30,42200,42700,42150,42550,11766018,0.017942583732057482
2019-05-31,42600,42800,42150,42500,11365999,-0.001175088131609825
2019-06-03,42950,43900,42500,43800,15466580,0.030588235294117583
2019-06-04,43400,43700,43000,43450,9913497,-0.007990867579908634
2019-06-05,44050,44200,43700,43900,12464135,0.010356731875719172
2019-06-07,43600,44350,43450,44200,11683682,0.006833712984054774
2019-06-10,44300,44850,44050,44800,8792182,0.013574660633484115
2019-06-11,44800,45000,44550,44850,6664872,0.0011160714285713969
2019-06-12,44800,45050,44300,44600,8607439,-0.005574136008918651
2019-06-13,44200,44400,43400,43750,16906541,-0.01905829596412556
2019-06-14,43750,44150,43300,44000,9322873,0.005714285714285783
2019-06-17,43750,44050,43400,43900,11890424,-0.002272727272727315
2019-06-18,43750,44500,43650,44350,7994928,0.010250569476081939
2019-06-19,45450,45450,45000,45350,10417690,0.022547914317925688
2019-06-20,44850,45500,44850,45500,7147785,0.00330760749724357
2019-06-21,45750,45800,45200,45700,9454913,0.00439560439560438
2019-06-24,45200,45800,45200,45500,6085066,-0.004376367614879695
2019-06-25,45200,45800,45200,45600,7076774,0.00219780219780219
2019-06-26,45800,46000,45600,45700,9226097,0.002192982456140413
