,com_code,com_name,dump_date,High
21,303030,지니틱스,2024-02-26,2400
27,027580,상보,2024-01-29,2415
3,458320,KB제26호스팩,2024-03-12,2425
10,168330,내츄럴엔도텍,2024-01-10,2430
19,004415,서울식품우,2023-12-01,2435
18,009200,무림페이퍼,2024-02-01,2450
25,023790,동일철강,2023-12-19,2450
0,388800,유진스팩7호,2022-03-21,2450
12,050760,에스폴리텍,2023-11-23,2465
1,440790,교보13호스팩,2023-07-06,2470
17,096630,에스코넥,2023-07-25,2475
10,310870,디와이씨,2023-02-06,2475
17,024810,이화전기,2023-04-21,2480
17,070590,한솔인티큐브,2024-02-01,2490
24,215380,우정바이오,2024-02-05,2490
21,289080,SV인베스트먼트,2023-10-06,2490
17,024800,유성티엔에스,2024-02-02,2490
0,448760,IBKS제22호스팩,2023-08-08,2495
15,131180,딜리,2022-02-10,2500
12,256630,포인트엔지니어링,2023-01-16,2500
15,053950,경남제약,2023-11-08,2515
2,084440,유비온,2023-06-22,2520
16,011930,신성이엔지,2024-03-13,2525
2,052770,아이톡시,2023-06-16,2525
15,022220,TKG애강,2022-04-04,2530
15,023960,에쓰씨엔지니어링,2023-09-20,2535
12,299170,더블유에스아이,2023-02-28,2540
12,016100,리더스코스메틱,2024-02-14,2550
6,419540,비스토스,2024-03-18,2570
16,008700,아남전자,2023-02-10,2575
14,012200,계양전기,2022-07-22,2576
15,012340,뉴인텍,2023-05-04,2588
2,435870,에스케이증권제8호스팩,2023-07-13,2590
7,067390,아스트,2024-01-03,2605
22,004270,남성,2023-11-17,2605
21,052670,제일바이오,2023-06-05,2605
11,412930,미래에셋비전스팩1호,2023-12-08,2610
10,369370,블리츠웨이,2023-11-23,2610
5,217620,디딤이앤에프,2020-11-09,2610
15,373200,하인크코리아,2023-02-08,2610
19,004770,써니전자,2023-12-12,2620
14,227610,아우딘퓨쳐스,2023-11-15,2625
9,016090,대현,2022-11-25,2630
18,017040,광명전기,2024-03-05,2640
20,013520,화승코퍼레이션,2023-11-09,2650
16,081580,성우전자,2024-02-07,2660
15,339950,아이비김영,2024-02-22,2665
3,365590,하이딥,2021-07-08,2666
18,002690,동일제강,2023-02-15,2670
15,092600,앤씨앤,2024-02-23,2675
21,006345,대원전선우,2024-03-15,2685
11,095190,이엠코리아,2024-02-15,2685
15,024910,경창산업,2024-01-03,2685
20,017180,명문제약,2023-12-06,2685
16,001360,삼성제약,2024-01-05,2690
20,011300,성안,2023-04-13,2700
21,025880,케이씨피드,2024-01-18,2725
20,056700,신화인터텍,2024-02-22,2735
15,075130,플랜티넷,2024-01-23,2740
0,137940,넥스트아이,2019-03-29,2745
13,078150,HB테크놀러지,2024-01-23,2760
16,255220,SG,2024-03-15,2765
18,008350,남선알미늄,2023-12-08,2770
17,242040,나무기술,2024-01-16,2770
0,083470,이엠앤아이,2023-12-19,2780
20,254120,자비스,2024-03-12,2790
11,142760,비엘,2024-03-14,2800
10,269620,시스웍,2021-07-14,2820
30,113810,디젠스,2023-05-16,2820
22,065440,이루온,2023-06-19,2825
19,069640,한세엠케이,2023-12-19,2830
11,005880,대한해운,2024-01-15,2830
11,129260,인터지스,2024-01-17,2840
21,001515,SK증권우,2023-12-06,2850
17,060480,국일신동,2024-02-15,2850
25,037330,인지디스플레,2024-02-15,2850
11,073190,듀오백,2023-10-25,2850
6,091970,나노캠텍,2021-01-19,2860
12,060380,동양에스텍,2023-06-23,2875
10,198440,고려시멘트,2023-04-04,2890
15,002220,한일철강,2024-01-30,2890
9,222420,쎄노텍,2021-02-26,2895
13,053060,세동,2023-07-06,2900
9,043090,엑서지21,2023-04-24,2900
15,095720,웅진씽크빅,2023-11-16,2900
16,046970,우리로,2023-08-28,2905
14,003475,유안타증권우,2024-01-11,2910
12,067830,세이브존I&C,2024-02-02,2915
22,024740,한일단조,2023-10-30,2920
4,003460,유화증권,2022-05-12,2920
16,002410,범양건영,2023-12-11,2930
17,090410,덕신하우징,2023-06-29,2935
9,071460,위니아,2022-12-07,2940
9,062970,피피아이,2024-01-11,2950
12,019680,대교,2023-12-13,2960
13,066430,와이오엠,2022-04-11,2961
10,071850,캐스텍코리아,2023-05-22,2980
10,017510,세명전기,2024-03-05,2985
5,089230,THE E&M,2024-02-29,2995
12,003520,영진약품,2023-09-05,2995
