회사명,항목,외인순매,기관순매,개인순매,개반순매,법인순매,외기개반,종가
알테오젠,골크_일단,10,10,0,10,0,10,10
알테오젠,골크_일중,10,10,0,10,10,10,10
알테오젠,골크_일장,0,10,10,0,10,3,10
알테오젠,골크_단중,10,0,0,10,10,6,10
알테오젠,골크_단장,0,10,10,0,10,3,10
알테오젠,골크_중장,0,10,10,0,10,3,10
알테오젠,우상향_5,10,10,0,10,10,10,10
알테오젠,우상향_20,0,0,10,0,10,0,10
알테오젠,우상향_60,0,20,20,0,20,6,20
알테오젠,합계,40,80,60,40,90,53,100
카카오,골크_일단,0,10,0,10,10,6,10
카카오,골크_일중,0,0,10,0,10,0,10
카카오,골크_일장,0,0,10,0,0,0,10
카카오,골크_단중,0,0,10,0,10,0,10
카카오,골크_단장,0,0,10,0,0,0,10
카카오,골크_중장,10,0,0,10,0,6,10
카카오,우상향_5,0,10,0,10,10,6,10
카카오,우상향_20,0,0,10,0,10,0,10
카카오,우상향_60,0,20,0,20,0,13,20
카카오,합계,10,40,50,50,50,33,100
SK이노베이션,골크_일단,10,10,0,10,0,10,10
SK이노베이션,골크_일중,10,10,0,10,0,10,10
SK이노베이션,골크_일장,10,10,0,10,0,10,10
SK이노베이션,골크_단중,10,10,0,10,0,10,10
SK이노베이션,골크_단장,10,10,0,10,0,10,10
SK이노베이션,골크_중장,0,10,0,10,0,6,10
SK이노베이션,우상향_5,10,10,0,10,0,10,10
SK이노베이션,우상향_20,10,10,0,10,0,10,10
SK이노베이션,우상향_60,0,20,0,20,0,13,20
SK이노베이션,합계,70,100,0,100,0,90,100
삼성화재,골크_일단,10,0,0,10,0,6,10
삼성화재,골크_일중,10,0,0,10,0,6,10
삼성화재,골크_일장,0,10,0,10,0,6,10
삼성화재,골크_단중,0,0,10,0,0,0,10
삼성화재,골크_단장,0,10,10,0,0,3,10
삼성화재,골크_중장,0,10,10,0,0,3,10
삼성화재,우상향_5,10,0,10,0,10,3,10
삼성화재,우상향_20,10,0,0,10,0,6,10
삼성화재,우상향_60,0,20,0,20,0,13,20
삼성화재,합계,40,50,40,60,10,50,100
삼성생명,골크_일단,10,10,0,10,0,10,10
삼성생명,골크_일중,10,0,10,0,10,3,10
삼성생명,골크_일장,10,0,10,0,0,3,10
삼성생명,골크_단중,10,0,10,0,10,3,10
삼성생명,골크_단장,10,0,10,0,0,3,10
삼성생명,골크_중장,0,0,10,0,0,0,10
삼성생명,우상향_5,10,0,10,0,0,3,10
삼성생명,우상향_20,10,0,10,0,0,3,10
삼성생명,우상향_60,20,20,0,20,0,20,20
삼성생명,합계,90,30,70,30,20,50,100
HMM,골크_일단,10,10,0,10,0,10,10
HMM,골크_일중,0,10,0,10,10,6,10
HMM,골크_일장,0,10,0,10,10,6,10
HMM,골크_단중,0,10,10,0,10,3,10
HMM,골크_단장,0,10,0,10,10,6,10
HMM,골크_중장,0,10,0,10,10,6,10
HMM,우상향_5,10,10,0,10,0,10,10
HMM,우상향_20,0,10,0,10,10,6,10
HMM,우상향_60,0,20,0,20,20,13,20
HMM,합계,20,100,10,90,80,70,100
하나금융지주,골크_일단,0,10,0,10,0,6,10
하나금융지주,골크_일중,0,10,0,10,0,6,10
하나금융지주,골크_일장,0,10,10,0,10,3,10
하나금융지주,골크_단중,0,10,10,0,0,3,10
하나금융지주,골크_단장,0,10,10,0,10,3,10
하나금융지주,골크_중장,0,10,10,0,10,3,10
하나금융지주,우상향_5,0,10,0,10,0,6,10
