날짜,공시_제목,공시자
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,유철준
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,이재신
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,채영훈
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,이혜연
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,조현덕
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,홍선기
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,황재만
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,정재헌
2023-12-19,특수관계인과의내부거래,SK텔레콤
2023-12-19,특수관계인과의내부거래,SK텔레콤
2023-12-19,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2023-12-19,특수관계인과의내부거래,SK텔레콤
2023-12-19,특수관계인과의내부거래,SK텔레콤
2023-11-30,대규모기업집단현황공시[분기별공시(개별회사용)],SK텔레콤
2023-11-14,분기보고서 (2023.09),SK텔레콤
2023-11-08,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤
2023-11-08,영업(잠정)실적(공정공시),SK텔레콤
2023-11-01,기업설명회(IR)개최(안내공시),SK텔레콤
2023-10-30,신탁계약에의한취득상황보고서,SK텔레콤
2023-10-25,현금ㆍ현물배당결정,SK텔레콤
2023-10-18,투자설명서,SK텔레콤
2023-10-18,증권발행실적보고서,SK텔레콤
2023-10-17,[발행조건확정]증권신고서(채무증권),SK텔레콤
2023-09-21,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2023-08-30,대규모기업집단현황공시[분기별공시(개별회사용)],SK텔레콤
2023-08-30,임원ㆍ주요주주특정증권등소유상황보고서,박명순
2023-08-14,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,SK텔레콤
2023-08-11,반기보고서 (2023.06),SK텔레콤
2023-08-08,영업(잠정)실적(공정공시),SK텔레콤
2023-08-08,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤
2023-08-01,기업설명회(IR)개최(안내공시),SK텔레콤
2023-07-31,주요사항보고서(해외증권시장주권등상장폐지),SK텔레콤
2023-07-27,주요사항보고서(자기주식취득신탁계약체결결정),SK텔레콤
2023-07-27,현금ㆍ현물배당결정,SK텔레콤
2023-06-30,지속가능경영보고서등관련사항(자율공시),SK텔레콤
2023-06-23,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2023-06-23,주요사항보고서(해외증권시장주권등상장폐지결정),SK텔레콤
2023-06-05,증권발행실적보고서,SK텔레콤
2023-06-05,투자설명서,SK텔레콤
2023-05-31,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],SK텔레콤
2023-05-31,[첨부정정]기업지배구조보고서공시,SK텔레콤
2023-05-30,[발행조건확정]증권신고서(채무증권),SK텔레콤
2023-05-24,주식등의대량보유상황보고서(약식),국민연금공단
2023-05-17,임원ㆍ주요주주특정증권등소유상황보고서,박명순
2023-05-12,분기보고서 (2023.03),SK텔레콤
2023-05-10,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤
2023-05-10,영업(잠정)실적(공정공시),SK텔레콤
2023-05-03,기업설명회(IR)개최(안내공시),SK텔레콤
2023-04-28,해외증권거래소등에신고한사업보고서등의국내신고,SK텔레콤
2023-04-24,자기주식처분결과보고서,SK텔레콤
2023-04-24,임원ㆍ주요주주특정증권등소유상황보고서,윤영민
2023-04-24,임원ㆍ주요주주특정증권등소유상황보고서,오혜연
2023-04-24,임원ㆍ주요주주특정증권등소유상황보고서,김준모
2023-04-24,임원ㆍ주요주주특정증권등소유상황보고서,김석동
2023-04-24,임원ㆍ주요주주특정증권등소유상황보고서,김용학
2023-04-20,주요사항보고서(자기주식처분결정),SK텔레콤
2023-04-20,현금ㆍ현물배당결정,SK텔레콤
2023-04-12,증권발행실적보고서,SK텔레콤
2023-04-12,투자설명서,SK텔레콤
2023-04-11,[발행조건확정]증권신고서(채무증권),SK텔레콤
2023-03-29,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2023-03-28,특수관계인에대한증여,SK텔레콤
2023-03-28,주식매수선택권부여에관한신고,SK텔레콤
2023-03-28,정기주주총회결과,SK텔레콤
2023-03-28,사외이사의선임ㆍ해임또는중도퇴임에관한신고,SK텔레콤
2023-03-20,사업보고서 (2022.12),SK텔레콤
2023-03-16,주식등의대량보유상황보고서(약식),국민연금공단
2023-03-10,감사보고서제출,SK텔레콤
2023-03-02,자기주식처분결과보고서,SK텔레콤
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,성석함
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,손인혁
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,성진수
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,박명순
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,석지환
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,복재원
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,박용주
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,신용식
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,신상욱
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,염성진
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,안정열
2023-02-28,임원ㆍ주요주주특정증권등소유상황보고서,안정환
