회사,구분,점수
한국타이어앤테크놀로지,골크_단중,0
한국타이어앤테크놀로지,골크_단장,0
한국타이어앤테크놀로지,골크_중장,0
한국타이어앤테크놀로지,우상향_5,15
한국타이어앤테크놀로지,우상향_20,0
한국타이어앤테크놀로지,우상향_60,0
한국타이어앤테크놀로지,합계,15
LIG넥스원,골크_단중,15
LIG넥스원,골크_단장,15
LIG넥스원,골크_중장,15
LIG넥스원,우상향_5,0
LIG넥스원,우상향_20,15
LIG넥스원,우상향_60,25
LIG넥스원,합계,85
두산,골크_단중,0
두산,골크_단장,0
두산,골크_중장,0
두산,우상향_5,0
두산,우상향_20,0
두산,우상향_60,0
두산,합계,0
LG생활건강,골크_단중,0
LG생활건강,골크_단장,0
LG생활건강,골크_중장,0
LG생활건강,우상향_5,0
LG생활건강,우상향_20,0
LG생활건강,우상향_60,25
LG생활건강,합계,25
미래에셋증권,골크_단중,0
미래에셋증권,골크_단장,0
미래에셋증권,골크_중장,0
미래에셋증권,우상향_5,15
미래에셋증권,우상향_20,0
미래에셋증권,우상향_60,0
미래에셋증권,합계,15
LG디스플레이,골크_단중,15
LG디스플레이,골크_단장,0
LG디스플레이,골크_중장,0
LG디스플레이,우상향_5,15
LG디스플레이,우상향_20,15
LG디스플레이,우상향_60,0
LG디스플레이,합계,45
삼성카드,골크_단중,0
삼성카드,골크_단장,0
삼성카드,골크_중장,0
삼성카드,우상향_5,15
삼성카드,우상향_20,0
삼성카드,우상향_60,0
삼성카드,합계,15
LG유플러스,골크_단중,0
LG유플러스,골크_단장,15
LG유플러스,골크_중장,15
LG유플러스,우상향_5,15
LG유플러스,우상향_20,0
LG유플러스,우상향_60,25
LG유플러스,합계,70
레인보우로보틱스,골크_단중,15
레인보우로보틱스,골크_단장,15
레인보우로보틱스,골크_중장,15
레인보우로보틱스,우상향_5,15
레인보우로보틱스,우상향_20,15
레인보우로보틱스,우상향_60,25
레인보우로보틱스,합계,100
넷마블,골크_단중,0
넷마블,골크_단장,0
넷마블,골크_중장,0
넷마블,우상향_5,0
넷마블,우상향_20,0
넷마블,우상향_60,25
넷마블,합계,25
리가켐바이오,골크_단중,0
리가켐바이오,골크_단장,0
리가켐바이오,골크_중장,0
리가켐바이오,우상향_5,0
리가켐바이오,우상향_20,0
리가켐바이오,우상향_60,0
리가켐바이오,합계,0
한화시스템,골크_단중,0
한화시스템,골크_단장,0
한화시스템,골크_중장,15
한화시스템,우상향_5,0
한화시스템,우상향_20,0
한화시스템,우상향_60,25
한화시스템,합계,40
NH투자증권,골크_단중,0
NH투자증권,골크_단장,0
NH투자증권,골크_중장,0
NH투자증권,우상향_5,0
NH투자증권,우상향_20,0
NH투자증권,우상향_60,0
NH투자증권,합계,0
두산밥캣,골크_단중,0
두산밥캣,골크_단장,0
두산밥캣,골크_중장,0
두산밥캣,우상향_5,0
두산밥캣,우상향_20,0
두산밥캣,우상향_60,0
두산밥캣,합계,0
한국금융지주,골크_단중,0
한국금융지주,골크_단장,0
한국금융지주,골크_중장,0
한국금융지주,우상향_5,0
한국금융지주,우상향_20,0
한국금융지주,우상향_60,0
한국금융지주,합계,0
두산로보틱스,골크_단중,15
두산로보틱스,골크_단장,0
두산로보틱스,골크_중장,0
두산로보틱스,우상향_5,0
두산로보틱스,우상향_20,15
두산로보틱스,우상향_60,25
두산로보틱스,합계,55
엔씨소프트,골크_단중,15
엔씨소프트,골크_단장,15
엔씨소프트,골크_중장,15
엔씨소프트,우상향_5,0
엔씨소프트,우상향_20,15
엔씨소프트,우상향_60,25
엔씨소프트,합계,85
SK바이오사이언스,골크_단중,15
SK바이오사이언스,골크_단장,15
SK바이오사이언스,골크_중장,15
SK바이오사이언스,우상향_5,0
SK바이오사이언스,우상향_20,15
SK바이오사이언스,우상향_60,25
SK바이오사이언스,합계,85
오리온,골크_단중,0
오리온,골크_단장,0
오리온,골크_중장,0
오리온,우상향_5,15
오리온,우상향_20,0
오리온,우상향_60,25
오리온,합계,40
효성중공업,골크_단중,15
효성중공업,골크_단장,15
효성중공업,골크_중장,15
효성중공업,우상향_5,15
효성중공업,우상향_20,0
효성중공업,우상향_60,25
효성중공업,합계,85
삼성증권,골크_단중,15
삼성증권,골크_단장,0
삼성증권,골크_중장,0
삼성증권,우상향_5,15
삼성증권,우상향_20,0
삼성증권,우상향_60,0
삼성증권,합계,30
LG이노텍,골크_단중,0
LG이노텍,골크_단장,0
LG이노텍,골크_중장,0
LG이노텍,우상향_5,15
LG이노텍,우상향_20,0
LG이노텍,우상향_60,0
LG이노텍,합계,15
현대오토에버,골크_단중,15
현대오토에버,골크_단장,15
현대오토에버,골크_중장,15
현대오토에버,우상향_5,15
현대오토에버,우상향_20,15
현대오토에버,우상향_60,25
현대오토에버,합계,100
삼천당제약,골크_단중,0
삼천당제약,골크_단장,0
삼천당제약,골크_중장,15
삼천당제약,우상향_5,0
삼천당제약,우상향_20,0
삼천당제약,우상향_60,0
삼천당제약,합계,15
CJ제일제당,골크_단중,0
CJ제일제당,골크_단장,0
CJ제일제당,골크_중장,0
CJ제일제당,우상향_5,0
CJ제일제당,우상향_20,0
CJ제일제당,우상향_60,0
CJ제일제당,합계,0
시프트업,골크_단중,15
시프트업,골크_단장,15
시프트업,골크_중장,15
시프트업,우상향_5,15
시프트업,우상향_20,15
시프트업,우상향_60,25
시프트업,합계,100
카카오페이,골크_단중,15
카카오페이,골크_단장,0
카카오페이,골크_중장,0
카카오페이,우상향_5,15
카카오페이,우상향_20,0
카카오페이,우상향_60,0
카카오페이,합계,30
GS,골크_단중,0
GS,골크_단장,0
GS,골크_중장,0
GS,우상향_5,0
GS,우상향_20,0
GS,우상향_60,0
GS,합계,0
강원랜드,골크_단중,0
강원랜드,골크_단장,0
강원랜드,골크_중장,0
강원랜드,우상향_5,15
강원랜드,우상향_20,0
강원랜드,우상향_60,0
강원랜드,합계,15
삼성E&A,골크_단중,0
삼성E&A,골크_단장,0
삼성E&A,골크_중장,0
삼성E&A,우상향_5,15
삼성E&A,우상향_20,0
삼성E&A,우상향_60,25
삼성E&A,합계,40
클래시스,골크_단중,15
클래시스,골크_단장,0
클래시스,골크_중장,0
클래시스,우상향_5,0
클래시스,우상향_20,15
클래시스,우상향_60,0
클래시스,합계,30
한미약품,골크_단중,0
한미약품,골크_단장,0
한미약품,골크_중장,0
한미약품,우상향_5,0
한미약품,우상향_20,0
한미약품,우상향_60,0
한미약품,합계,0
BNK금융지주,골크_단중,15
BNK금융지주,골크_단장,15
BNK금융지주,골크_중장,15
BNK금융지주,우상향_5,15
BNK금융지주,우상향_20,15
BNK금융지주,우상향_60,25
BNK금융지주,합계,100
한국가스공사,골크_단중,15
한국가스공사,골크_단장,15
한국가스공사,골크_중장,15
한국가스공사,우상향_5,15
한국가스공사,우상향_20,15
한국가스공사,우상향_60,25
한국가스공사,합계,100
JB금융지주,골크_단중,15
JB금융지주,골크_단장,0
JB금융지주,골크_중장,0
JB금융지주,우상향_5,0
JB금융지주,우상향_20,15
JB금융지주,우상향_60,0
JB금융지주,합계,30
휴젤,골크_단중,15
휴젤,골크_단장,0
휴젤,골크_중장,0
휴젤,우상향_5,15
휴젤,우상향_20,15
휴젤,우상향_60,0
휴젤,합계,45
LS,골크_단중,15
LS,골크_단장,0
LS,골크_중장,0
LS,우상향_5,0
LS,우상향_20,0
LS,우상향_60,0
LS,합계,15
한화솔루션,골크_단중,0
한화솔루션,골크_단장,0
한화솔루션,골크_중장,0
한화솔루션,우상향_5,0
한화솔루션,우상향_20,0
한화솔루션,우상향_60,0
한화솔루션,합계,0
키움증권,골크_단중,15
키움증권,골크_단장,0
키움증권,골크_중장,0
키움증권,우상향_5,15
키움증권,우상향_20,0
키움증권,우상향_60,0
키움증권,합계,30
엔켐,골크_단중,15
엔켐,골크_단장,15
엔켐,골크_중장,0
엔켐,우상향_5,0
엔켐,우상향_20,0
엔켐,우상향_60,25
엔켐,합계,55
포스코DX,골크_단중,15
포스코DX,골크_단장,15
포스코DX,골크_중장,15
포스코DX,우상향_5,0
포스코DX,우상향_20,0
포스코DX,우상향_60,25
포스코DX,합계,70
리노공업,골크_단중,15
리노공업,골크_단장,15
리노공업,골크_중장,15
리노공업,우상향_5,15
리노공업,우상향_20,15
리노공업,우상향_60,25
리노공업,합계,100
엘앤에프,골크_단중,0
엘앤에프,골크_단장,15
엘앤에프,골크_중장,15
엘앤에프,우상향_5,0
엘앤에프,우상향_20,0
엘앤에프,우상향_60,0
엘앤에프,합계,30
현대제철,골크_단중,0
현대제철,골크_단장,0
현대제철,골크_중장,0
현대제철,우상향_5,0
현대제철,우상향_20,0
현대제철,우상향_60,0
현대제철,합계,0
현대건설,골크_단중,15
현대건설,골크_단장,0
현대건설,골크_중장,0
현대건설,우상향_5,15
현대건설,우상향_20,15
현대건설,우상향_60,0
현대건설,합계,45
CJ,골크_단중,0
CJ,골크_단장,0
CJ,골크_중장,0
CJ,우상향_5,15
CJ,우상향_20,0
CJ,우상향_60,25
CJ,합계,40
한온시스템,골크_단중,0
한온시스템,골크_단장,15
한온시스템,골크_중장,15
한온시스템,우상향_5,0
한온시스템,우상향_20,0
한온시스템,우상향_60,25
한온시스템,합계,55
파마리서치,골크_단중,15
파마리서치,골크_단장,15
파마리서치,골크_중장,15
파마리서치,우상향_5,15
파마리서치,우상향_20,15
파마리서치,우상향_60,25
파마리서치,합계,100
금호석유,골크_단중,0
금호석유,골크_단장,0
금호석유,골크_중장,0
금호석유,우상향_5,0
금호석유,우상향_20,0
금호석유,우상향_60,0
금호석유,합계,0
신성델타테크,골크_단중,0
신성델타테크,골크_단장,0
신성델타테크,골크_중장,0
신성델타테크,우상향_5,0
신성델타테크,우상향_20,0
신성델타테크,우상향_60,0
신성델타테크,합계,0
JYP Ent.,골크_단중,15
JYP Ent.,골크_단장,15
JYP Ent.,골크_중장,15
JYP Ent.,우상향_5,15
JYP Ent.,우상향_20,15
JYP Ent.,우상향_60,25
JYP Ent.,합계,100
롯데케미칼,골크_단중,15
롯데케미칼,골크_단장,15
롯데케미칼,골크_중장,15
롯데케미칼,우상향_5,0
롯데케미칼,우상향_20,0
롯데케미칼,우상향_60,25
롯데케미칼,합계,70
휠라홀딩스,골크_단중,0
휠라홀딩스,골크_단장,0
휠라홀딩스,골크_중장,0
