날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2022-12-01,4490,4540,4480,4540,71955,1.3392857142857142,1372,156,3737,-5265,0,44071,223,24512,3149,71955,42699,67,20775,8414,71955,6290565,701105,16797130,-23788800,0,199300870,1004615,110829610,14255995,325391090,193010305,303510,94032480,38044795,325391090
2022-12-02,4545,4545,4490,4535,53280,-0.11013215859030838,1856,631,874,-3361,0,31743,631,12954,7952,53280,29887,0,12080,11313,53280,8402850,2846110,3918320,-15167280,0,143371020,2846110,58522160,35957525,240696815,134968170,0,54603840,51124805,240696815
2022-12-05,4535,4600,4500,4600,73006,1.4332965821389196,28928,1535,-20151,-10312,0,36111,1535,21921,13439,73006,7183,0,42072,23751,73006,132683135,7011070,-92508440,-47185765,0,165573730,7011070,100240610,61516790,334342200,32890595,0,192749050,108702555,334342200
2022-12-06,4600,4640,4540,4615,137529,0.32608695652173914,-14894,1683,45626,-32415,0,64866,1683,69672,1308,137529,79760,0,24046,33723,137529,-67948155,7741660,209599675,-149393180,0,299055080,7741660,320670720,6022235,633489695,367003235,0,111071045,155415415,633489695
2022-12-07,4615,4615,4490,4490,76746,-2.7085590465872156,7243,2048,15150,-24441,0,42902,2348,29047,2449,76746,35659,300,13897,26890,76746,33503515,9250885,68941225,-111695625,0,195543085,10624885,132185760,11100555,349454285,162039570,1374000,63244535,122796180,349454285
2022-12-08,4530,4620,4495,4540,43019,1.1135857461024499,17855,0,-5521,-12334,0,36512,0,5960,547,43019,18657,0,11481,12881,43019,81128835,0,-25158905,-55969930,0,165638155,0,27026935,2471130,195136220,84509320,0,52185840,58441060,195136220
2022-12-09,4605,4605,4500,4545,21298,0.11013215859030838,4911,217,-512,-4616,0,11857,217,9080,144,21298,6946,0,9592,4760,21298,22449430,985180,-2382415,-21052195,0,54011590,985180,41234685,649130,96880585,31562160,0,43617100,21701325,96880585
2022-12-12,4545,4560,4475,4510,37181,-0.77007700770077,-6943,5442,2993,-1492,0,9904,5442,18334,3501,37181,16847,0,15341,4993,37181,-31527565,24645630,13623840,-6741905,0,44740585,24645630,82831575,15814380,168032170,76268150,0,69207735,22556285,168032170
2022-12-13,4545,4545,4470,4500,34339,-0.22172949002217296,6921,188,-2748,-4361,0,28081,188,5982,88,34339,21160,0,8730,4449,34339,31162440,846940,-12380555,-19628825,0,126306615,846940,26901695,394735,154449985,95144175,0,39282250,20023560,154449985
2022-12-14,4500,4510,4495,4510,36452,0.2222222222222222,3105,1109,-1896,-2318,0,20757,1109,13187,1399,36452,17652,0,15083,3717,36452,13986300,4996045,-8546835,-10435510,0,93465055,4996045,59378705,6295730,164135535,79478755,0,67925540,16731240,164135535
2022-12-15,4510,4555,4475,4475,50235,-0.7760532150776054,7118,908,-2448,-5578,0,25884,908,23168,275,50235,18766,0,25616,5853,50235,32105475,4089320,-10942030,-25252765,0,116492245,4089320,104220095,1239740,226041400,84386770,0,115162125,26492505,226041400
